,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
166,Daddy Issues,Wiped Out!,The Neighbourhood,2015-10-30,4.336216666666667,88,0.588,0.0678,0.521,0.149,0.123,-9.461,0.0329,85.012,4
167,Pepas,Pepas,Farruko,2021-06-24,4.785333333333333,87,0.762,0.00776,0.766,6.98e-05,0.128,-3.955,0.0343,130.001,4
168,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),Kate Bush,1985-09-16,5.014,87,0.625,0.659,0.533,0.00266,0.0546,-11.903,0.0596,108.296,4
169,Dark Horse,PRISM (Deluxe),Katy Perry,2013-10-18,3.594533333333333,78,0.645,0.00314,0.585,0.0,0.165,-6.122,0.0513,131.931,4
170,deja vu,SOUR,Olivia Rodrigo,2021-05-21,3.5917666666666666,88,0.442,0.584,0.612,5.7e-06,0.37,-7.222,0.112,180.917,4
171,About Damn Time,About Damn Time,Lizzo,2022-04-14,3.197033333333333,90,0.836,0.0995,0.743,0.0,0.335,-6.305,0.0656,108.966,4
172,September,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",1978-11-23,3.5848833333333334,84,0.697,0.168,0.832,0.00131,0.269,-7.264,0.0298,125.926,4
173,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,4.296666666666667,84,0.828,0.0644,0.492,0.00428,0.128,-9.744,0.0276,120.151,4
174,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,3.1256833333333334,81,0.935,0.0194,0.454,0.0,0.0824,-7.509,0.375,133.073,4
175,Don't,T R A P S O U L,Bryson Tiller,2015-10-02,3.304883333333333,82,0.765,0.223,0.356,0.0,0.0963,-5.556,0.195,96.991,4
176,SLOW DANCING IN THE DARK,BALLADS 1,Joji,2018-10-26,3.4878833333333334,86,0.515,0.544,0.479,0.00598,0.191,-7.458,0.0261,88.964,4
177,Dutton Ranch Freestyle,Dutton Ranch Freestyle,David Morris,2022-08-05,2.39645,74,0.834,0.00395,0.651,5.18e-06,0.139,-5.844,0.0618,121.984,4
178,Drowning (feat. Kodak Black),The Bigger Artist,A Boogie Wit da Hoodie,2017-09-29,3.487816666666667,80,0.839,0.501,0.81,0.0,0.117,-5.274,0.0568,129.014,4
179,Shut Down,BORN PINK,BLACKPINK,2022-09-16,2.9314833333333334,89,0.82,0.00412,0.686,0.0,0.184,-5.102,0.038,110.058,3
180,drivers license,SOUR,Olivia Rodrigo,2021-05-21,4.03355,88,0.561,0.768,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,4
181,Wet Dreamz,2014 Forest Hills Drive,J. Cole,2014-12-09,3.9877666666666665,85,0.495,0.0697,0.722,0.0,0.113,-8.108,0.357,175.627,4
182,We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),Lin-Manuel Miranda,2021-11-19,3.602,81,0.577,0.357,0.45,0.0,0.111,-8.516,0.0834,205.863,4
183,Daylight,Harry's House,Harry Styles,2022-05-20,2.7422166666666667,84,0.686,0.484,0.445,0.00144,0.175,-7.189,0.0398,145.5,3
184,"Sex, Drugs, Etc.",Chit Chat,Beach Weather,2016-11-04,3.279733333333333,90,0.572,0.013,0.839,0.00976,0.522,-5.083,0.0377,143.969,4
185,Surface Pressure,Encanto (Original Motion Picture Soundtrack),Lin-Manuel Miranda,2021-11-19,3.370433333333333,77,0.65,0.0174,0.584,1.54e-06,0.042,-8.286,0.307,180.088,4
186,Die Young (feat. 347aidan),Die Young (feat. 347aidan),Sleepy Hallow,2022-05-25,2.4802666666666666,82,0.808,0.827,0.582,0.0,0.111,-6.26,0.338,77.471,4
187,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022-05-06,3.0484333333333336,90,0.801,0.0777,0.601,3.23e-05,0.145,-7.574,0.255,159.969,4
188,How Far I'll Go,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2016-11-18,2.7231,74,0.571,0.649,0.307,0.0,0.178,-10.958,0.0499,83.72,4
189,Do I Wanna Know?,AM,Arctic Monkeys,2013-09-09,4.5399,89,0.548,0.186,0.532,0.000263,0.217,-7.596,0.0323,85.03,4
190,You're Welcome,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2016-11-18,2.73155,75,0.788,0.29,0.745,0.0,0.0373,-7.072,0.258,135.278,4
191,Detox,Detox,Lil Baby,2022-09-02,2.6939333333333333,80,0.845,0.027,0.503,0.0,0.116,-7.021,0.334,147.031,4
192,After Dark,Time,Mr.Kitty,2014-10-06,4.3191,86,0.585,0.0696,0.595,0.266,0.0837,-10.444,0.0328,140.037,4
193,This Is Halloween,Nightmare Before Christmas Special Edition,Various Artists,2006-01-01,3.276,73,0.569,0.768,0.508,0.0,0.145,-12.823,0.0502,167.624,4
194,Die Hard,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,3.9837666666666665,83,0.775,0.319,0.736,0.00116,0.127,-8.072,0.247,100.988,4
195,Rotten to the Core,Descendants (Original TV Movie Soundtrack),Descendants – Cast,2015-01-01,2.7011,64,0.693,0.0506,0.808,1.18e-06,0.578,-6.231,0.093,127.945,4
196,Devil In A New Dress,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,5.865766666666667,80,0.435,0.0175,0.76,0.0,0.158,-4.935,0.0721,80.082,4
197,"Hakuna Matata - From ""The Lion King""/Soundtrack",The Lion King,Various Artists,1994-01-01,3.56,73,0.408,0.617,0.313,1.18e-05,0.115,-18.09,0.137,170.013,4
198,Dos Mil 16,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.476916666666667,88,0.817,0.123,0.67,1.92e-06,0.128,-6.534,0.0506,130.058,3
199,Childs Play,Views,Drake,2016-05-06,4.023333333333333,69,0.746,0.0175,0.475,1.1e-05,0.197,-11.243,0.113,80.006,4
200,Efecto,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.5510166666666665,96,0.801,0.141,0.475,1.73e-05,0.0639,-8.797,0.0516,98.047,4
201,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,3.1648833333333335,90,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4
202,Evergreen (You Didn’t Deserve Me At All),Ivory,Omar Apollo,2022-04-08,3.6113333333333335,88,0.697,0.598,0.336,0.00528,0.107,-10.395,0.0424,82.029,3
203,Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,2022-06-10,3.459,84,0.582,0.577,0.568,0.0,0.105,-7.3,0.0275,121.991,3
204,Everlong,The Colour And The Shape,Foo Fighters,1997-05-20,4.175766666666667,84,0.413,5.99e-05,0.881,0.000308,0.0805,-5.541,0.0367,158.066,4
205,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,1985-02-25,4.191466666666667,88,0.645,0.347,0.795,0.00389,0.104,-12.095,0.0527,112.067,4
206,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,3.2159333333333335,85,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.286,136.006,4
207,Pink + White,Blonde,Frank Ocean,2016-08-20,3.075266666666667,85,0.545,0.667,0.545,5.48e-05,0.417,-7.362,0.107,159.94,3
208,Everybody Dies In Their Nightmares,17,XXXTENTACION,2017-08-25,1.5911,85,0.734,0.847,0.57,2.14e-05,0.112,-7.066,0.133,129.953,4
209,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,2.5747666666666666,93,0.881,0.619,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,4
210,Enough,Enough,charlieonnafriday,2022-08-05,3.0877666666666665,80,0.745,0.22,0.543,0.0,0.174,-8.137,0.0396,139.964,4
211,EARFQUAKE,IGOR,"Tyler, The Creator",2019-05-17,3.1677666666666666,82,0.554,0.23,0.498,5.98e-06,0.795,-8.866,0.0685,79.635,4
212,Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,2018-10-05,2.4257,86,0.897,0.0852,0.662,0.0,0.534,-6.903,0.292,112.511,4
213,Enchanted,Speak Now,Taylor Swift,2010-10-25,5.869766666666667,75,0.455,0.0739,0.623,0.000424,0.146,-3.878,0.0288,163.893,4
214,Enter Sandman (Remastered),Metallica (Remastered),Metallica,1991-08-12,5.526,78,0.566,0.00277,0.834,0.008,0.0625,-8.412,0.0298,123.296,4
215,Martin & Gina,THE GOAT,Polo G,2020-05-15,2.2138666666666666,83,0.832,0.345,0.534,0.0,0.165,-7.813,0.253,93.924,4
216,Everything She Ain’t,Everything She Ain’t,Hailey Whitters,2022-01-14,2.5328833333333334,76,0.796,0.175,0.621,0.0,0.274,-6.129,0.0346,121.904,4
217,Electric Love,Dopamine,BØRNS,2015-10-16,3.6351,83,0.611,0.00543,0.797,0.00137,0.26,-7.627,0.0533,120.041,4
218,Andrea,Un Verano Sin Ti,Bad Bunny,2022-05-06,5.660183333333333,87,0.797,0.762,0.616,0.000293,0.0979,-10.229,0.375,103.071,4
219,EDGING,EDGING,blink-182,2022-10-14,2.52555,72,0.606,0.0044,0.905,0.0,0.151,-3.117,0.0518,143.952,4
220,Everybody Talks,Picture Show,Neon Trees,2012-01-01,2.9546666666666668,81,0.471,0.00301,0.924,0.0,0.313,-3.906,0.0586,154.961,4
221,"...And to Those I Love, Thanks for Sticking Around",Stop Staring At the Shadows,$uicideboy$,2020-02-14,2.80815,83,0.792,0.124,0.511,9.04e-05,0.14,-6.876,0.0409,113.983,4
222,Eye of the Tiger,Rocky IV,Various Artists,1985,4.094,78,0.817,0.132,0.599,0.000311,0.0873,-9.249,0.0328,108.873,4
223,El Apagón,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.3636,84,0.629,0.0509,0.698,0.00166,0.0909,-4.485,0.308,117.765,4
224,STAYING ALIVE (feat. Drake & Lil Baby),STAYING ALIVE (feat. Drake & Lil Baby),DJ Khaled,2022-08-05,2.9696,84,0.718,0.068,0.461,0.0,0.283,-7.676,0.0797,129.953,4
225,EA (feat. 21 Savage),SlimeBall 2,Young Nudy,2017-08-11,3.78625,80,0.451,0.261,0.876,0.0,0.098,-5.205,0.414,87.306,5
226,Jugaste y Sufrí,Corta Venas,Eslabon Armado,2020-12-18,4.586566666666666,82,0.39,0.632,0.499,0.000497,0.115,-7.778,0.0381,200.156,1
227,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,2022-05-06,4.061933333333333,98,0.65,0.0993,0.715,0.000291,0.126,-5.198,0.253,106.672,4
228,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,3.942066666666667,78,0.477,0.000866,0.727,0.0,0.108,-4.053,0.286,150.062,4
229,m y . l i f e (with 21 Savage & Morray),The Off-Season,J. Cole,2021-05-14,3.6466833333333333,79,0.597,0.0622,0.587,0.0,0.214,-7.026,0.137,140.021,4
230,Está Dañada,Alma Vacía,Ivan Cornejo,2021-08-20,3.5691333333333333,77,0.405,0.38,0.565,0.0195,0.107,-9.266,0.0372,159.892,3
231,El Rescate,El Rescate,Grupo Marca Registrada,2022-07-22,2.6816166666666668,87,0.794,0.283,0.594,0.000381,0.109,-8.698,0.139,99.238,3
232,She Knows (feat. Amber Coffman & Cults),Born Sinner (Deluxe Version),J. Cole,2013-06-18,4.942,83,0.766,0.0193,0.74,0.0784,0.229,-10.363,0.0807,118.008,4
233,Enemy (with JID) - from the series Arcane League of Legends,Enemy (with JID) [from the series Arcane League of Legends],Imagine Dragons,2021-10-28,2.889683333333333,87,0.728,0.237,0.783,0.0,0.434,-4.424,0.266,77.011,4
234,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,4.090416666666667,86,0.704,0.902,0.225,0.657,0.106,-14.454,0.0994,120.006,4
235,Heartless,808s & Heartbreak,Kanye West,2008-11-24,3.5166666666666666,86,0.79,0.0515,0.647,0.0,0.248,-5.983,0.136,87.999,4
236,Eventually,Currents,Tame Impala,2015-07-17,5.30985,80,0.424,0.0158,0.615,0.000389,0.0844,-6.217,0.0325,77.935,4
237,Armed And Dangerous,Goodbye & Good Riddance,Juice WRLD,2018-12-10,2.8333166666666667,79,0.736,0.186,0.67,0.0,0.114,-6.702,0.311,130.032,4
238,Está Dañado,Dañado,Ivan Cornejo,2022-06-02,3.3532333333333333,75,0.578,0.501,0.459,1.86e-05,0.143,-11.938,0.041,160.065,3
239,p r i d e . i s . t h e . d e v i l (with Lil Baby),The Off-Season,J. Cole,2021-05-14,3.636833333333333,79,0.861,0.104,0.656,0.0,0.0986,-7.867,0.425,88.967,4
240,Enséñame a Bailar,Un Verano Sin Ti,Bad Bunny,2022-05-06,2.933333333333333,85,0.81,0.191,0.789,1.08e-05,0.467,-5.08,0.0846,105.009,4
241,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021-10-05,3.455016666666667,88,0.639,0.0889,0.703,1.78e-06,0.0865,-6.33,0.0794,169.888,4
242,Exchange,T R A P S O U L,Bryson Tiller,2015-10-02,3.24355,79,0.525,0.107,0.433,0.0,0.135,-10.598,0.185,160.108,4
243,Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),Usher,2004-03-23,4.172883333333333,83,0.894,0.0183,0.791,0.0,0.0388,-4.699,0.112,105.018,4
244,The Motto,The Motto,Tiësto,2021-11-04,2.746966666666667,87,0.754,0.0301,0.763,2.23e-05,0.0901,-4.627,0.0435,117.953,4
245,No Hands (feat. Roscoe Dash & Wale),Flockaveli,Waka Flocka Flame,2010-10-01,4.396216666666667,77,0.76,0.00544,0.595,0.0,0.241,-6.366,0.0391,131.497,4
246,I'm Not Okay (I Promise),Three Cheers for Sweet Revenge,My Chemical Romance,2004-06-08,3.108,77,0.21,0.00602,0.94,0.0,0.269,-3.427,0.123,179.722,4
247,Everything,It's Only Me,Lil Baby,2022-10-14,2.3457333333333334,65,0.736,0.162,0.683,0.0,0.126,-5.37,0.352,95.733,4
248,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,3.424733333333333,81,0.625,0.0172,0.814,0.0,0.158,-5.181,0.0657,144.991,4
249,"Lose Yourself - From ""8 Mile"" Soundtrack",Curtain Call: The Hits (Deluxe Edition),Eminem,2005-12-06,5.4411,78,0.692,0.00868,0.744,0.000423,0.359,-4.565,0.257,171.374,4
250,Flashing Lights,Graduation,Kanye West,2007-09-11,3.9584333333333332,86,0.639,0.0381,0.628,0.0,0.386,-7.578,0.0399,90.482,4
251,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,2.6157166666666667,100,0.714,0.013,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,4
252,F.N.F. (Let's Go),F.N.F. (Let's Go),Hitkidd,2022-05-03,2.2929833333333334,74,0.864,0.0374,0.476,0.0,0.374,-10.068,0.436,157.144,4
253,First Class,First Class,Jack Harlow,2022-04-08,2.8991166666666666,87,0.905,0.0254,0.563,9.71e-06,0.113,-6.135,0.102,106.998,4
254,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,3.6394,91,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,4
255,F.N.F (Let's Go) - Remix,F.N.F. (Let's Go) [Remix],Hitkidd,2022-09-09,4.129366666666667,73,0.869,0.00733,0.759,0.0,0.366,-4.886,0.262,156.973,4
256,Freestyle,Too Hard,Lil Baby,2017-12-01,2.7008833333333335,84,0.877,0.217,0.517,0.0,0.143,-5.426,0.0706,119.996,4
257,Super Freaky Girl,Super Freaky Girl,Nicki Minaj,2022-08-12,2.8496166666666665,93,0.95,0.0645,0.891,1.77e-05,0.309,-2.653,0.241,133.01,4
258,Free Bird,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd,1973-01-01,9.118433333333334,78,0.249,0.0738,0.834,9.48e-05,0.0924,-8.21,0.0577,118.223,4
259,Father Stretch My Hands Pt. 1,The Life Of Pablo,Kanye West,2016-06-10,2.2653333333333334,84,0.724,0.118,0.573,0.0,0.538,-4.113,0.0549,113.088,4
260,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,3.1648833333333335,90,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4
261,family ties (with Kendrick Lamar),family ties (with Kendrick Lamar),Baby Keem,2021-08-27,4.20115,80,0.711,0.00575,0.611,0.0,0.231,-5.453,0.329,134.14,4
262,Freaks,Freaks,Surf Curse,2021-05-15,2.451033333333333,87,0.345,3.84e-05,0.941,0.633,0.0511,-9.918,0.0466,179.626,4
263,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022-05-06,3.0484333333333336,90,0.801,0.0777,0.601,3.23e-05,0.145,-7.574,0.255,159.969,4
264,Feathered Indians,Purgatory,Tyler Childers,2017-08-04,3.7491,79,0.536,0.75,0.574,0.00277,0.105,-6.705,0.0254,87.194,4
265,Die For You,Starboy,The Weeknd,2016-11-25,4.33755,89,0.582,0.111,0.525,0.0,0.134,-7.163,0.0627,133.249,4
266,Flawlëss (feat. Lil Uzi Vert),Lyfë,Yeat,2022-09-09,2.9354,80,0.474,0.0715,0.805,0.0,0.147,-5.997,0.332,131.001,4
267,Fall In Love,Fall In Love,Bailey Zimmerman,2022-02-11,3.8676333333333335,79,0.524,0.451,0.643,0.0,0.221,-6.055,0.0297,135.962,4
268,Fuck Love (feat. Trippie Redd),17,XXXTENTACION,2017-08-25,2.442,83,0.797,0.0172,0.533,0.000152,0.103,-9.74,0.0412,131.036,4
269,First Day Out,My Moment,Tee Grizzley,2017-04-07,4.244883333333333,74,0.587,0.171,0.711,0.0,0.125,-6.33,0.42,98.008,4
270,favorite crime,SOUR,Olivia Rodrigo,2021-05-21,2.5444333333333335,85,0.369,0.866,0.272,0.0,0.147,-10.497,0.0364,172.929,4
271,Fergalicious,The Dutchess,Fergie,2006-09-13,4.872883333333333,72,0.906,0.0569,0.583,0.0,0.126,-7.721,0.317,129.056,4
272,For the First Time,This Old Dog,Mac DeMarco,2017-05-05,3.0384333333333333,82,0.551,0.296,0.529,0.0093,0.178,-10.469,0.0517,75.515,4
273,Until I Found You,Until I Found You,Stephen Sanchez,2021-09-01,2.962,90,0.539,0.727,0.508,0.0,0.174,-6.05,0.0288,101.358,3
274,Feliz Cumpleaños Ferxxo,Feliz Cumpleaños Ferxxo,Feid,2022-08-19,2.6066666666666665,88,0.87,0.102,0.55,0.0,0.293,-5.537,0.0722,95.019,4
275,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,4.049416666666667,85,0.849,0.0635,0.424,0.0,0.0834,-9.579,0.324,145.887,4
276,Flowers,Flowers,Lauren Spencer Smith,2022-04-14,2.6228833333333332,80,0.684,0.869,0.449,0.0,0.0881,-9.738,0.611,66.165,4
277,Feel Good Inc.,Demon Days,Gorillaz,2005-05-23,3.7106666666666666,85,0.818,0.00836,0.705,0.00233,0.613,-6.679,0.177,138.559,4
278,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,3.0064333333333333,85,0.558,0.371,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,4
279,Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,2020-10-23,3.87555,80,0.487,0.191,0.65,0.0,0.0933,-5.195,0.0253,151.964,4
280,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,3.2159333333333335,85,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.286,136.006,4
281,family ties (with Kendrick Lamar),The Melodic Blue,Baby Keem,2021-09-10,4.204366666666667,80,0.711,0.00588,0.611,0.0,0.23,-5.453,0.33,134.093,4
282,Fair Trade (with Travis Scott),Certified Lover Boy,Drake,2021-09-03,4.852916666666666,84,0.666,0.0503,0.465,0.0,0.215,-8.545,0.26,167.937,4
283,5 Foot 9,5 Foot 9,Tyler Hubbard,2022-05-20,3.163,81,0.602,0.146,0.796,0.0,0.125,-5.609,0.0465,106.005,4
284,Family Line,Superache,Conan Gray,2022-06-24,3.601566666666667,81,0.326,0.619,0.397,0.0,0.0979,-8.145,0.0461,153.713,3
285,Fortunate Son,Willy And The Poor Boys (Expanded Edition),Creedence Clearwater Revival,1969-11-02,2.346216666666667,83,0.64,0.201,0.663,0.00806,0.152,-7.516,0.0374,132.77,4
286,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,2.5747666666666666,93,0.881,0.619,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,4
287,Faneto,Back from the Dead 2,Chief Keef,2015-06-16,3.4442333333333335,72,0.849,0.346,0.755,0.0,0.0564,-7.4,0.363,144.188,4
288,Fancy Like,Country Stuff The Album,Walker Hayes,2022-01-21,2.69755,78,0.647,0.111,0.765,0.0,0.315,-6.459,0.06,79.994,4
289,Die For You,Starboy,The Weeknd,2016-11-24,4.33755,87,0.586,0.111,0.525,0.0,0.134,-7.163,0.0615,133.629,4
290,Flower Shops (feat. Morgan Wallen),Flower Shops (feat. Morgan Wallen),ERNEST,2021-12-31,3.5734166666666667,75,0.527,0.118,0.461,0.0,0.0831,-5.908,0.0269,128.153,3
291,Falling,Fine Line,Harry Styles,2019-12-13,4.0022166666666665,85,0.567,0.839,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,4
292,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,2022-05-13,2.47475,97,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4
293,FOR FUN,RED & WHITE,Lil Uzi Vert,2022-07-23,3.134316666666667,76,0.775,0.157,0.461,0.0,0.0687,-6.594,0.124,134.028,4
294,Fingers Crossed,Fingers Crossed,Lauren Spencer Smith,2022-01-05,2.9224,82,0.56,0.618,0.473,0.0,0.31,-7.23,0.0533,109.414,4
295,Fireflies,Ocean Eyes,Owl City,2009-01-01,3.8057666666666665,80,0.512,0.0275,0.662,0.0,0.118,-6.797,0.0439,180.114,4
296,LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,2017-04-14,3.5566666666666666,83,0.8,0.264,0.585,0.0,0.153,-7.343,0.0924,126.058,4
297,Sparks,Parachutes,Coldplay,2000-07-10,3.784883333333333,87,0.371,0.748,0.268,0.0517,0.104,-10.506,0.0281,102.617,3
298,Forever (feat. Fridayy),It's Only Me,Lil Baby,2022-10-14,2.7996166666666666,67,0.462,0.414,0.251,0.0,0.201,-12.072,0.159,89.705,3
299,Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,4.006666666666667,93,0.612,0.0495,0.807,0.0177,0.101,-2.81,0.0336,124.053,4
300,Glimpse of Us,Glimpse of Us,Joji,2022-06-10,3.8909333333333334,95,0.44,0.891,0.317,4.78e-06,0.141,-9.258,0.0531,169.914,3
301,Gangsta's Paradise,Gangsta's Paradise,Coolio,1995-11-07,4.01155,89,0.647,0.0655,0.514,0.0,0.398,-10.05,0.0593,79.975,4
302,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,2.9691,88,0.563,0.335,0.664,0.0,0.0849,-5.044,0.154,166.928,4
303,I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,2.9206333333333334,99,0.561,0.00383,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,4
304,GATÚBELA,GATÚBELA,KAROL G,2022-08-26,3.486,91,0.627,0.263,0.858,0.0,0.21,-2.824,0.386,92.523,4
305,Super Freaky Girl,Super Freaky Girl,Nicki Minaj,2022-08-12,2.8496166666666665,93,0.95,0.0645,0.891,1.77e-05,0.309,-2.653,0.241,133.01,4
306,Ghost,Justice,Justin Bieber,2021-03-19,2.553166666666667,89,0.601,0.185,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,4
307,Betty (Get Money),Betty (Get Money),Yung Gravy,2022-06-10,2.4411666666666667,88,0.723,0.00524,0.772,1.15e-05,0.367,-6.784,0.0792,102.004,4
308,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",GOD DID,DJ Khaled,2022-08-26,8.3608,77,0.42,0.092,0.725,0.0,0.18,-4.262,0.223,77.941,1
309,Good Days,Good Days,SZA,2020-12-25,4.6534,83,0.436,0.499,0.655,8.1e-06,0.688,-8.37,0.0583,121.002,4
310,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),Kate Bush,1985-09-16,5.014,87,0.625,0.659,0.533,0.00266,0.0546,-11.903,0.0596,108.296,4
311,Gangnam Style (강남스타일),Gangnam Style (강남스타일),PSY,2012-01-01,3.6582166666666667,75,0.727,0.00417,0.937,0.0,0.091,-2.871,0.286,132.067,4
312,Whiskey Glasses,If I Know Me,Morgan Wallen,2018-04-27,3.9057666666666666,82,0.614,0.369,0.68,1.84e-06,0.115,-4.58,0.0289,149.959,4
313,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,4.063933333333333,85,0.841,0.0847,0.728,0.0,0.149,-3.37,0.0484,130.049,4
314,Bad Habit,Gemini Rights,Steve Lacy,2022-07-15,3.867766666666667,90,0.686,0.613,0.494,5.8e-05,0.402,-7.093,0.0355,168.946,4
315,Gasolina,Barrio Fino (Bonus Track Version),Daddy Yankee,2004-07-13,3.21,83,0.852,0.322,0.797,2.69e-06,0.0845,-6.543,0.0614,96.008,4
316,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,3.513333333333333,84,0.808,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,4
317,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,2022-05-13,2.47475,97,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4
318,golden hour,this is what falling in love feels like (554Hz),JVKE,2022-10-03,3.48765,48,0.515,0.653,0.593,0.162,0.25,-4.801,0.0322,94.467,3
319,Get You (feat. Kali Uchis),Freudian,Daniel Caesar,2017-08-25,4.636316666666667,81,0.658,0.422,0.294,5.2e-05,0.0749,-8.533,0.0321,74.038,4
320,Gold Digger,Late Registration,Kanye West,2005-08-30,3.4604333333333335,80,0.629,0.0195,0.696,0.0,0.0554,-5.572,0.348,93.034,4
321,Good Morning,Graduation,Kanye West,2007-09-11,3.25155,73,0.48,0.0791,0.631,0.000105,0.149,-5.488,0.116,84.164,4
322,Grenade,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,3.7015166666666666,79,0.704,0.148,0.558,0.0,0.107,-7.273,0.0542,110.444,4
323,Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,2018-10-05,2.4257,86,0.897,0.0852,0.662,0.0,0.534,-6.903,0.292,112.511,4
324,Get Into It (Yuh),Planet Her,Doja Cat,2021-06-25,2.304883333333333,82,0.912,0.315,0.655,3.39e-05,0.0894,-6.029,0.162,91.942,4
